ArticleId,Text,Category
1275,nasdaq planning $100m share sale the owner of the technology-dominated nasdaq stock index plans to sell shares to the public and list itself on the market it operates.  according to a registration document filed with the securities and exchange commission  nasdaq stock market plans to raise $100m (£52m) from the sale. some observers see this as another step closer to a full public listing. however nasdaq  an icon of the 1990s technology boom  recently poured cold water on those suggestions.  the company first sold shares in private placements during 2000 and 2001. it technically went public in 2002 when the stock started trading on the otc bulletin board  which lists equities that trade only occasionally. nasdaq will not make money from the sale  only investors who bought shares in the private placings  the filing documents said. the nasdaq is made up shares in technology firms and other companies with high growth potential. it was the most potent symbol of the 1990s internet and telecoms boom  nose-diving after the bubble burst. a recovery in the fortunes of tech giants such as intel  and dot.com survivors such as amazon has helped revive its fortunes.,business
1089,germany calls for eu reform german chancellor gerhard schroeder has called for radical reform of the eu s stability pact to grant countries more flexibility over their budget deficits.  mr schroeder said existing fiscal rules should be loosened to allow countries to run deficits above the current 3% limit if they met certain criteria. writing in the financial times  mr schroeder also said heads of government should have a greater say in reforms. changes to the pact are due to be agreed at an economic summit in march.  the current eu rules limit the size of a eurozone country s deficit to 3% of gdp. countries which exceed the threshold are liable to heavy fines by the european commission  although several countries  including germany  have breached the rules consistently since 2002 without facing punishment. the european commission acknowledged last month that it would not impose sanctions on countries who break the rules.  mr schroeder - a staunch supporter of the pact when it was set up in the 1990s - said exemptions were now needed to take into account the cost of domestic reform programmes and changing economic conditions.  the stability pact will work better if intervention by european institutions in the budgetary sovereignty of national parliaments is only permitted under very limited conditions   he wrote.  only if their competences are respected will the member states be willing to align their policies more consistently with the economic goals of the eu.   deficits should be allowed to rise above 3%  mr schroeder argued  if countries meet several  mandatory criteria . these include governments which are adopting costly structural reforms  countries which are suffering economic stagnation and nations which are shouldering  special economic burdens . the proposed changes would make it harder for the european commission to launch infringement action against any state which breaches the pact s rules. mr schroeder s intervention comes ahead of a meeting of the 12 eurozone finance ministers on monday to discuss the pact. the issue will also be discussed at tuesday s ecofin meeting of the finance ministers of all 25 eu members. mr schroeder also called for heads of government to play a larger role in shaping reforms to the pact. a number of eu finance ministers are believed to favour only limited changes to the eurozone s rules.,business
166,economy  strong  in election year uk businesses are set to prosper during the next few months - but this could trigger more interest rate rises  according to a report.  optimism is at its highest since 1997 and business will reap the benefits of a continuing rise in public spending  say researchers at bdo stoy hayward. the bank of england is expected to keep rates on hold this week - but they could go up later in the year. rates are likely to rise after the anticipated general election in may. the bdo optimism index - a leading indicator of gdp growth two quarters ahead edged up in january to 102.5  from 102.2 in october. the rise is due  in part  to an increase in public spending and increased merger and acquisition activity.  the only thing blighting business optimism this year will be uncertainties associated with the general election  bdo said. its bdo s output index - which predicts gdp movements a quarter in advance - remained at 100.8 for january  implying gdp growth at 2.9% in the second quarter of 2005. however  the output index is being held back by recent interest rate rises  sterling s strength against the dollar and high oil prices  the group noted. its inflation index  which has risen continuously over the last 8 months  climbed to 110.0 in january from 108.0 in october last year.  the uk is looking strong going into the general election  but businesses need to prepare themselves for a jolt ahead as the bank of england reacts to growth and inflationary pressures   said peter hemington  partner at bdo stoy hayward.  growth will probably slow by the end of 2005 and it is likely that we will see higher interest rates or a sharp drop in demand for products and services.,business
19,japanese banking battle at an end japan s sumitomo mitsui financial has withdrawn its takeover offer for rival bank ufj holdings  enabling the latter to merge with mitsubishi tokyo.  sumitomo bosses told counterparts at ufj of its decision on friday  clearing the way for it to conclude a 3 trillion yen ($29bn) deal with mitsubishi. the deal would create the world s biggest bank with assets of about 189 trillion yen ($1.8 trillion). sumitomo s exit ends the most high profile fight in japanese bank history.  ufj holdings  japan s fourth-largest bank  has been at the centre of a fierce bid battle over the last year. sumitomo  japan s third-largest bank  tabled a higher offer for ufj than its rival  valuing the company at $35bn.  however  ufj s management was known to prefer the offer from mitsubishi tokyo financial group (mtfg)  japan s second-largest bank. concerns were also raised about sumitomo s ability to absorb ufj and the former has now admitted defeat.  we believe the market and most investors accept a ufj-mtfg merger   sumitomo said in a statement.  given the ongoing integration of ufj and mtfg operations  persisting with our proposal may not be in the best interests of our shareholders or ufj s.   mitsubishi s takeover of ufj - which will be japan s largest-ever takeover deal - will still have to be approved by shareholders of the two firms. however  this is expected to be a formality. sumitomo may now turn its attention to deepening its ties with daiwa securities  another japanese financial firm. the two are set to merge their venture capital operations and there has been speculation that this could lead to a full-blown merger. japanese banks are increasingly seeking alliances to boost profits.,business
1058,yukos loses us bankruptcy battle a judge has dismissed an attempt by russian oil giant yukos to gain bankruptcy protection in the us.  yukos filed for chapter 11 protection in houston in an unsuccessful attempt to halt the auction of its yugansk division by the russian authorities. the court ruling is a blow to efforts to get damages for the sale of yugansk  which yukos claims was illegally sold. separately  former yukos boss mikhail khodorkovsky began testimony on friday in his trial for fraud and tax evasion.  mr khodorkovsky - who has been in jail for more than a year - pleaded not guilty to the charges brought against him and denied involvement in any criminal activities.  i pride myself on heading for 15 years a number of successful companies and helping other enterprises rise from their knees   he told a russian court.  yugansk was auctioned to help pay off $27.5bn (£14.5bn) in unpaid taxes. it was bought for $9.4bn by a previously-unknown group  which was in turn bought up almost immediately by state-controlled oil company rosneft.  texas judge letitia clark said yukos did not have enough of a us presence to establish us jurisdiction.  the vast majority of the business and financial activities of yukos continue to occur in russia   judge clark said in her ruling.  such activities require the continued participation of the russian government.  yukos had argued that a us court was entitled to declare it bankrupt before its yugansk unit was sold  since it has local bank accounts and its chief finance officer bruce misamore lives in houston. yukos claimed it sought help in the us because other forums - russian courts and the european court of human rights - were either unfriendly or offered less protection. russia had indicated it would in any case not abide by the rulings of the us courts.  in her ruling  the judge acknowledged that  it appears likely that agencies of the russian government have acted in a manner that would be considered confiscatory under united states law . but she said her role was simply to decide on jurisdiction. the us court s jurisdiction had been challenged by deutsche bank and gazpromneft  a former unit of russian gas monopoly gazprom which is due to merge with rosneft. analysts said the ability of gazprom and rosneft to trade freely overseas had been stifled while the ownership of yugansk remained unclear.  yukos said it would consider its options in light of the ruling. however  it claimed that the court had backed its argument in four out of five key issues.  we believe the merits of our case are strong and simple   said chief executive steven theede.  our assets were illegally seized. we want them back or damages paid.,business
410,eu aiming to fuel development aid european union finance ministers meet on thursday to discuss proposals  including a tax on jet fuel  to boost development aid for poorer nations.  the policy makers are to ask for a report into how more development money can be raised  the eu said. the world s richest countries have said they want to increase the amount of aid they give to 0.7% of their annual gross national income by 2015. airlines have reacted strongly against the proposed fuel levy.  profits have been under pressure in the airline industry  with low-cost firms driving down prices and demand dipping after the 11 september terrorist attacks and the outbreak of the killer sars virus.  things have picked up  but some european and us companies are teetering on the brink of bankruptcy. at present  the fuel used by airlines enjoys either a very low tax rate or is untaxed in eu member states.  of course we applaud humanitarian initiatives  but why target the airlines   said ulrich schulte-strathaus  secretary general of the association of european airlines.  our industry is in the midst of a fundamental crisis...only to be once again confronted with a measure designed to increase our costs   he continued.  the eu sought to allay the airlines  fears  stressing that thursday s meeting was only a first step and that other proposals were also under consideration. it added that any plan to levy taxes on jet fuel  should not hinder the competitiveness of the airlines and that they themselves will not be solely funding development . any tax would only be implemented after full consultation with the airlines  the eu said. there is thought to be widespread support for the plan - tabled by france and germany following the recent g7 meeting of the world s richest nations - from eu ministers. the issue of poverty in africa and south asia has forced itself to the top of the politicial agenda  with politicians and campaigners calling for more to be done. at their meeting in london  g7 finance ministers backed plans to write off up to 100% of the debts of some of the world s poorest countries.,business
812,bp surges ahead on high oil price oil giant bp has announced a 26% rise in annual profits to $16.2bn (£8.7bn) on the back of record oil prices.  last week  rival shell reported an annual profit of $17.5bn - a record profit for a uk-listed company. bp added that it was increasing its fourth-quarter dividend by 26% to 8.5 cents  and that it would continue with share buybacks. bp chief executive lord browne said the results were strong  both operationally and financially.   the company is earning about $1.8m an hour.  despite the record annual profits figure  bp s performance was below the expectations of some city analysts. however  bp s share price rose 4p or nearly 1% in morning trading to 548p. its profit rise for the year included profits of $3.65bn (£1.97bn) for the final three months of 2004 - up from $2.89bn a year ago but below its third quarter.  speaking on the bbc s today programme on tuesday  lord browne said the profits were not solely down to the high oil price alone.   the profits are up more than the price of oil is up   he said. lord browne pointed out that bp was reaping the benefits of its investment in oil exploration.  we have spent many years buying (assets) when the price is low   he said. the company has made new discoveries in egypt  the gulf of mexico and angola.  however  lord browne rejected calls for a windfall tax on his company s huge profits  saying that in the north sea it paid progressively more tax  the more profits it made. lord browne believes oil prices will remain quite high. currently above $40 a barrel  he said:  the price of oil will be well supported above $30 a barrel for the medium term.  bp put production for the year at 3.997 billion barrels of oil  up 10% on 2003  but slightly lower than the four billion barrels it had initially aimed for.,business
544,economy  strong  in election year uk businesses are set to prosper during the next few months - but this could trigger more interest rate rises  according to a report.  optimism is at its highest since 1997 and business will reap the benefits of a continuing rise in public spending  say researchers at bdo stoy hayward. the bank of england is expected to keep rates on hold this week - but they could go up later in the year. rates are likely to rise after the anticipated general election in may. the bdo optimism index - a leading indicator of gdp growth two quarters ahead edged up in january to 102.5  from 102.2 in october. the rise is due  in part  to an increase in public spending and increased merger and acquisition activity.  the only thing blighting business optimism this year will be uncertainties associated with the general election  bdo said. its bdo s output index - which predicts gdp movements a quarter in advance - remained at 100.8 for january  implying gdp growth at 2.9% in the second quarter of 2005. however  the output index is being held back by recent interest rate rises  sterling s strength against the dollar and high oil prices  the group noted. its inflation index  which has risen continuously over the last 8 months  climbed to 110.0 in january from 108.0 in october last year.  the uk is looking strong going into the general election  but businesses need to prepare themselves for a jolt ahead as the bank of england reacts to growth and inflationary pressures   said peter hemington  partner at bdo stoy hayward.  growth will probably slow by the end of 2005 and it is likely that we will see higher interest rates or a sharp drop in demand for products and services.,business
317,takeover offer for sunderland fc bob murray  chairman of sunderland fc  has launched a £1.5m ($2.8m) bid for the club after buying broadcaster bskyb s stake in the business.  mr murray is already sunderland s leading shareholder  holding a 37.6% stake  and now hopes to take full control of the championship side. mr murray said the club would find it easier to attract more investment by having a single majority owner. sunderland delisted its shares from the stock market in august.  a lifetime sunderland supporter and board director since 1984  mr murray agreed to buy bskyb s 4.76% holding in the wearside club on tuesday - taking his stake to 42.3%. under stock market rules  mr murray is required to make an offer for the remaining shares that he does not already own at the same price paid for the bskyb holding of 31p a share.  should the offer be fully accepted  mr murray said he expected to pay a maximum of £1.53m for the remaining shares. he also stressed that fans who wanted to keep in touch with the club s financial affairs could retain a small number of shares  enabling them to attend annual meetings.  the football sector is experiencing significant changes and uncertainty   mr murray said in a statement.  the recent speculation surrounding malcolm glazer and manchester united has shown the unsettling effect possible where there are a number of disparate interests   he added.  i believe that this offer will strengthen the company and remove the potential for that type of uncertainty.   sunderland were relegated from the premiership in 2003 but are currently pushing for promotion. the club managed to reduce its losses last year from £20.6m to £1.2m after selling a host of leading players. however  the club s turnover dropped sharply from £42.5m to £28.5m over the same period  because of a fall in broadcast revenues. bskyb bought its stake in sunderland in 1999 as part of a five year media partnership deal. the deal expired last month.,business
960,optimism remains over uk housing the uk property market remains robust despite the recent slowdown  according to mortgage lender bradford & bingley and housebuilder george wimpey.  b&b said the buy-to-let market - in which the bank is a major player - would continue to grow much faster than the wider mortgage market. the comments came as it reported a 6% rise in profits to £280.2m ($532m). wimpey reported a 19% rise in profits to £450.7m and said recent new home reservations were better than expected.  recent housing market surveys have indicated that the uk property market has cooled in recent months after several years of rapid growth. last week  figures from the council of mortgage lenders (cml) indicated that the popularity of buy-to-let mortgages - a key phenomenon of the housing boom - could be waning.  but b&b - which has a 22% share of the uk buy-to-let mortgage market - said that while rates of growth were moderating  the sector  continues to grow at a rate considerably above that of the whole mortgage market . overall  b&b said that  housing market fundamentals remain strong .  interest rates and unemployment are both likely to remain at historically low levels  real household incomes should continue to grow and housing demand is likely to outstrip supply into the medium-term.  despite the upbeat tone  shares in b&b were down more than 4% at 325.5p in morning trade as analysts worried over future earnings growth.  wimpey s profit figures came in at the top of expectations  with the numbers helped by buoyant sales in the us offsetting a slight slowdown in the uk. wimpey said the uk housing market had proved  challenging  last year.  by late summer  the market in general had slowed sharply across the country and showed no real improvement during the autumn   it added. however  the first seven weeks of this year had produced promising signs  wimpey said.  visitor levels and interest in this period have been encouraging and reservations have been at the stronger end of our expectations.  shares in wimpey were up 6% at 458.5p in morning trade.,business
