tweet_text,cyberbullying_type
Here at home. Neighbors pick on my family and I. Mind you my son is autistic. It feels like high school. They call us names attack us for no reason and bully us all the time. Can't step on my front porch without them doing something to us,age
"Being bullied at school: High-achieving boys use further strategies to maintain masculinity, for example becoming bullies themselves, disrupting the lessons, or devaluing girls’ achievements https://www.bipartisanalliance.com/2019/12/being-bullied-at-school-high-achieving.html?spref=tw",age
"There was a girl in my class in 6th grade who was a little autistic, and her parents thought it’d be better to send her to a public school. She didn’t fit in with the class and was lowkey bullied (it was actually high key but the teacher downplayed it and did nothing)",age
He’s probably a white gay kid from some suburb. We don’t want him to shoot up his school...so no one bully him.,age
You are pushed ti resorting. Treating thr bullies is you percent then from being pressured. Most school sitters evidence severe bullying. Treat thre bullies and it isn't a problem.,age
Today was an awesome day. Vivaldi called me a VSCO girl and Kali bullied my high school bully. I still can not believe I created my two best friends. I will never be lonely again. Life rules and being a mom is the best.,age
Trump is like that jealous little school bully who can’t stand it when everbody loves the other guy.,age
"oh and also, saying that we’re on the same level of the columbine jocks just because we didn’t add you to a fucking gc is so SO fucking disrespectful to dylan and eric. if you were a columbiner, you’d understand that. we don’t bully people into sh**ting up their fucking schools.",age
My high school life got better when I finally snapped and punched my abusive bully: hidd shocked expression and tears made the detention I got more than worth it.,age
did you really experience 2012 if the bullies in middle school science class didn’t turtle your backpack everytime you went to the bathroom?? no. you didn’t.,age
Cardi talks like all the girls in high school that bullied me,age
"Remember when that jock you hated gave you the biggest wedgie right in front of a group of girls? Remember when they all laughed at you? I am that jock, don't think the wedgies and torment ended in high school loser. You're getting bullied for the rest of your life Findom",age
These guys shouldn't easily have a platform. I reported him on Twitch but I honestly have little faith anything will come of it. These sorts of guys are 100% why cancel culture should exist and exactly who I used to bully back when I was in school.,age
College is pretty much like high school except the jocks you hated turned into frat boys and the girls that bullied you are doing coke off their dicks,age
"listen i know you were in the marching band in high school and all the pretty popular girls bullied you, but you should really try to heal from that trauma being pretty is nice u should try it sometime",age
"Would just like to say to the girls at my first high school that bullied me into an eating disorder, mocked me for failing a suicide attempt and for self harming; I’ve never recovered and never will. I honestly wish you the best but hope you never cause anyone that pain again.",age
Hey dumb fuck celebs stop doing something for people for publicity on Facebook... Wtf happen to life u niggers are cowards.,ethnicity
"Fuck u bitch RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicity
"@JoeBiden No Joe, YOU are the RACIST. They have so many video and audio clips of the RACIST shit you have spewed in your past, How can anyone see you as anything but a RACIST. You hate Black people just admit it. And you loves the women to touch. Just look at your own stuff!",ethnicity
when your truck looks dumb as fuck out trying to make it look worse. you ain't country. quit tryin nigger.,ethnicity
That nigger food in the cafe today was disgusting,ethnicity
Muthafuckas still EGO tripping!Fool fuck your damn ego and live life to the fullest!!! LOL at these dumb ass niggers with the bullshit!,ethnicity
"@iMADE_YouMOAN don't play dumb, I should fuck yo little white ass up you nigger. 3chainz.? Aw.",ethnicity
I WILL ONLY SAY IT ONCE! IF YOU DO NOT FEAR HAVE THE SUSPICION OF BEING CALLED A NIGGER! NIGGA! OR NEGRO AT ANY POINT IN YOUR LIFE YOU CANNOT USE THE N WORD. PERIOD. I am talking about non black people in specific!!!! White passing mixed kids are on THIN ICE.,ethnicity
@CJ_Jacobs oh look it's that dumb niggers ghost acct! Fuck you you dumb motherfucker!,ethnicity
Try throwing ur dab in first then hitting it w the torch till it starts bubbling. I've switched becuase i hate accdmidently taking a hit one lol,ethnicity
This is not judgment. But how did no one know this. I remember being on early YouTube and seeing him doing black face and saying Nigger. I remember seeing compilation of Shane Dawson doing disgusting stuff. That’s why I was confused why he was YouTube’s darling.,ethnicity
"FYI the phrase is ""out your RABID mind"" dumb fucks smh niggers these days *walks off*",ethnicity
"@AndersonYDG you hypocrite nigger, you're stupid and you saying that makes you look like the dumb piece of shit imbred fuck you are ppzpzpzp",ethnicity
"fuck u u faggot ass nigger, im goin to go kill my self now.. better off dead than have some dumb fuck run my future. #fuckunobama",ethnicity
"@D_Paid: @Twin_Thing_Two: Y'all see this though right!? RT -------&gt; ""@tayyoung_: FUCK OBAMA, dumb ass nigger"""" bitch Fuck u""EAT A DICK !!",ethnicity
"@Shelly_Smyth BITCH , sound dumb af ! us NIGGERS will beat the fuck out of you !",ethnicity
rape is real..zvasiyana nema jokes about being drunk or being gay or being lesbian...rape is not ones choice or wish..thtz where the sensitivity is coming from,gender
You never saw any celebrity say anything like this for Obama: B Maher Incest Rape 'Joke' S Colbert Gay 'joke' K Griffin beheading 'joke',gender
"@ManhattaKnight I mean he's gay, but he uses gendered slurs and makes rape jokes",gender
Rape is rape. And the fact that I read one post about a guy getting raped and the comments are calling him gay and he should be happy...? stfu and I really hope no one takes this as a joke tf you own no ones body. You have no rights to do whatever you want to someone else.,gender
"@coiny Also, it's hard to take a company seriously re: harassment when the game has rape jokes &amp; gay jokes and treats women the way it does.",gender
"Idgaf if you are gay, lesbian, bisexual, or whatever the fuck you are, you don't fuck make a rape joke and think it's fucken ok",gender
"#GermanProfessor gives meaning to term FemiNazi.Doesn't hire ""Indian Men"" bcz of ""Indias's Rape Problem""",gender
RT @mcclure111: #DontDateSJWs #ThatWouldBeAViolationOfTheRestrainingOrder,gender
So I call you female I’m basically calling you a bitch ?,gender
I know the worst feeling for a female gotta be when they break a nail I can just tell that shit hurt like a bitch,gender
"SO HILARIOUS U WRITE UR OWN MATERIAL? @JesseElJefe A lot of ppl call me sexist. But those ppl are women, and their opinions don't matter.",gender
"“We voted for a guy who said he’d rather have a dead son than a gay one, claimed POC weren’t ‘even good for procreation anymore’, &amp; told a female politician the only reason he wouldn’t rape her was bc she was ugly, but please don’t think we’re sexist, homophobic, or racist.”",gender
"I always get fucking pissed when I see a man joke about the sexual abuse of another man. “Wow. Please she should come &amp; rape me too, some of us want.” “Mans is complaining. Nigga you gay? ” What foolishness, mocking and minimizing someone's pain for bants. Are you okay at all?",gender
men who call women ‘females’ or ‘bitches’ have big i’ve never seen a real vagina energy,gender
"In a world where race jokes , gay jokes , and rape jokes aren’t acceptable comedy has taken a weird ass turn . Like you would think it would make comedy better but nah that’s really not the case.",gender
RT @beavergate: @MT8_9 I'd like to focus on the plight of the Beaver.  We are oppressed and I consider myself a victim.,gender
"In other words #katandandre, your food was crapilicious! #mkr",not_cyberbullying
Why is #aussietv so white? #MKR #theblock #ImACelebrityAU #today #sunrise #studio10 #Neighbours #WonderlandTen #etc,not_cyberbullying
"@Jason_Gio meh. :P  thanks for the heads up, but not too concerned about another angry dude on twitter.",not_cyberbullying
"@RudhoeEnglish This is an ISIS account pretending to be a Kurdish account.  Like Islam, it is all lies.",not_cyberbullying
"@Raja5aab @Quickieleaks Yes, the test of god is that good or bad or indifferent or weird or whatever, it all proves gods existence.",not_cyberbullying
Itu sekolah ya bukan tempat bully! Ga jauh kaya neraka,not_cyberbullying
Karma. I hope it bites Kat on the butt. She is just nasty. #mkr,not_cyberbullying
@stockputout everything but mostly my priest,not_cyberbullying
Rebecca Black Drops Out of School Due to Bullying:,not_cyberbullying
@Jord_Is_Dead http://t.co/UsQInYW5Gn,not_cyberbullying
The Bully flushes on KD http://twitvid.com/A2TNP,not_cyberbullying
Ughhhh #MKR,not_cyberbullying
"Love that the best response to the hotcakes they managed to film was a non-committal ""meh"" from some adolescent. #MKR",not_cyberbullying
@yasmimcaci @Bferrarii PAREM DE FAZER BULLYING COMIGO =( UHAHUAH BANDO DE PRETO,not_cyberbullying
"@sarinhacoral @Victor_Maggi tadinhu de mim , sofrendo bulling viu MIMI'",not_cyberbullying
