tweet_text,cyberbullying_type
"listen i know you were in the marching band in high school and all the pretty popular girls bullied you, but you should really try to heal from that trauma being pretty is nice u should try it sometime",age
Not me crying over my high school choir memories like the directors weren’t ableist bullies and the majority of the kids werent bootlicking bullies. Not me missing the most traumatic part of high school.,age
side note this is one of the girls who bullied me in high school sksksks,age
"My mother was never home, my sister was a bully. I was presented drugs, but I turned them away. I was pressed to steal things, but I didn't. I was pressured to skip class and drop out of school, but I didn't. They putt them selves were they are, white people had no hand in that",age
the girls who bullied me in high school’s celebrity crush was ansel i-,age
you’ll never know who i am haha — high school fucking bullies,age
"You A$$it is not the ""China"" virus! If you want to give it a nickname it is the TRUMP virus! If you dont want to call it that then stick to Coronavirus or COVID19! You are not a stupid bully in a school playground! You are a stupid so called adult in the White House GROW UP!",age
"i was bullied at age 12-14 by the [MyBirthName] Hate Club, for doing gender v.wrongly (single sex high school, early 1980s), being introverted, &amp; being too good at schoolwork. then, magically, almost all of those mean girls grew the fuck up. most apologized before graduation.",age
"The school system is what bullies me. I have to wake up at 6:00, but I’ve been waking up at 11 the whole summer...",age
"Best friend in primary school’s mom married him, he taught me Karate, he let the other kids bully me, and he always came to our house to cry on my moms shoulder when he argued with my pals mom SKSKSKSK",age
I hope the school is going to put most of that money to use via scholarships. Stop having students take out unnecessary loans for their education. HBCU,age
"i went to a predominately black school, and most students there didnt like the white kids and liked to bully them, since it was easier because there were do few of them. i thought ""isnt this racist??"" and i thought that way for a long time before i realized its not the same.",age
"The way that every pyramid scheme girl was a bully in middle school. Bitch I dont want your hair oil, I want an apology.",age
I’m not prepared for Luna to grow up and go to school because if one of yall’s snotty nosed kids bully my child I’m beating a child’s ass. on sight,age
You act like a bully on the school play ground. Grow up,age
CARLAW the angry 2 faced who has no INTEGRITY is just like wee school bully hiding behind headmaster back because he is F- coward towards any real SCOTTISH CITIZENS and especially our FM,age
"White shall henceforth be called cracker, honky, gringo, or peckerwood. White is a skin tone. Negro is a derogatory term meant to keep a black man ""in his place."" If we're going to keep a child in office and allow childish behavior amongst his cronies, might as well go all in.",ethnicity
"real mad RT @spencaRashad: YOU MAAAAAAD! RT @HIGHimAD: This bitch mad Haa! “@tayyoung_: FUCK OBAMA, dumb ass nigger”",ethnicity
"how are u gonna tell the PERSON WHO MADE THE MEME ""um no we're gonna drag ur name in the dirt forever and you'll be the only one to blame for coming up with this in the first place """,ethnicity
@YRNFrederick @MLG_GrundY @Brizmo_nX im saying to stop tweeting me u dumb nigger holy fuck lmfao,ethnicity
Disgusting amount of black men would let a woman call them nigger during sex...pathetic,ethnicity
FUCK YOU YOU DUMB NIGGER @CorchadoAaron,ethnicity
Sad for u tmims50. Filled w hate and racism against a colored blind patriot https://twitter.com/tmims50/status/859628436515639297,ethnicity
@praisexoscar you're nigger youself you dumb fuck,ethnicity
@RealWizKhalifa you fake as fuck you dumb as nigger,ethnicity
“Im gonna fuck your mother you dumb nigger” - white 12 year olds,ethnicity
Don't ask me to think.......I just want to entertain! #coon #cooning… http://t.co/T2SQ4Nj46z,ethnicity
this boy just called me a dumb nigger someone fuck his ass up,ethnicity
"Apparently we still got a lot of puppets of the white liberal. Malcolm X was what they called a Negro leader, a real leader not a white mans puppet you think X would be silent on black babies dying because a white man wasn’t the one that killed em?",ethnicity
"I mean, I’d definitely expect a black box to draw less likes than a selfie, but not even just people you know any celebrity post you see that has anything to do with equality over the past few weeks has like 1/4 the likes of their usual content",ethnicity
Fucken let me over you dumb ugly ass nigger bitch what the fuck! haha,ethnicity
@goshawty123: plz get shot like that other nigger Tupac @barackobama fuck u dumb ass pig.. pink mother fucker,ethnicity
"No one gives a shit about a theater shooting when there's people making rape jokes, and Chick-fil-a bashing gays. Rage! #fuckaurora",gender
the way men call women bitches and females don't sit right with me,gender
Someone wipe that smirk from Kat's face #mkr,gender
RT @cammyhoskins98 Sorry but girls will never be able to compete at the level of football that men's football has set #notsexist,gender
if you don't support gay rights if you don't support trans rights if you don't support women's rights if you make rape jokes,gender
"I swear to fuckin god kat and Andre are the worst ever contestants, kat is such a little bitch a 1 is so unfair #mkr",gender
