S. No.,Message_body,Label
744,:-) :-),Non-Spam
823,Thinking of u ;) x,Non-Spam
537,Is there coming friday is leave for pongal?do you get any news from your work place.,Non-Spam
354,I keep ten rs in my shelf:) buy two egg.,Non-Spam
599,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,Non-Spam
342,I re-met alex nichols from middle school and it turns out he's dealing!,Non-Spam
315,Ok... Sweet dreams...,Non-Spam
624,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,Non-Spam
96,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.,Non-Spam
883,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",Non-Spam
613,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,Non-Spam
860,Wif my family booking tour package.,Non-Spam
117,Think + da. You wil do.,Non-Spam
26,Hi its in durban are you still on this number,Non-Spam
532,How many times i told in the stage all use to laugh. You not listen aha.,Non-Spam
213,Ok,Non-Spam
816,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,Spam
104,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam
53,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",Spam
601,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,Spam
7,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,Spam
747,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,Spam
665,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,Spam
5,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,Spam
115,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,Spam
467,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,Spam
490,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,Spam
662,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,Spam
782,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",Spam
34,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,Spam
44,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Spam
109,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,Spam
